question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,partially_addressed,supported,3,2021,0.7461,"Analyses [2015A&A...576A.134M] and [2017AJ....153..138B] of 51 PEG's atmosphere reach potentially conflicting conclusions regarding TiO: one reports ""The detection of reflected light from an exoplanet is a difficult technical challenge at optical wavelengths."", while the other reports ""We also provide an updated orbital solution for 51 Peg b, using an extensive set of 639 stellar radial velocities measured between 1994 a..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_002,2,partially_addressed,still_plausible,3,2022,0.6771,"Analyses [2018A&A...619A...1B] and [2015hst..prop14094B] of 55 CNC's atmosphere reach potentially conflicting conclusions regarding water: one reports ""While we cannot exclude the presence of a water layer underneath the atmosphere, this scenario is unlikely given the observations of the ..."", while the other reports ""The mean density of this planet suggests it is surrounded by a thick gaseous envelope, yet our observations at Lyman-alpha detected no si..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_003,3,answered,supported,3,2024,0.6966,"Analyses [2015sptz.prop11180G] and [2016hst..prop14877B] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""Improving our understanding of these ubiquitous planets requires the detection of a significant sample of them in transit in front of ver..."", while the other reports ""Transit spectroscopy of the planet in the ultraviolet detected no significant amounts of hydrogen or water, while optical and infrared ob..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_004,4,partially_addressed,supported,2,2025,0.6575,"Analyses [2016hst..prop14094B] and [2017ApJ...849..152H] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""We propose to further constrain the nature of this planet through COS observations in the CII line, to assess the presence of an extended..."", while the other reports ""We confirm theoretical models of tidally locked circulation are consistent with our numerical model of 55 Cnc e, and rule out certain atm..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_005,5,posed_but_open,still_plausible,3,2021,0.6891,"Analyses [2016koa..prop..367C] and [2017hst..prop15127B] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""A detection of the extended atmosphere would be a first for super-Earths and could provide constraints on planetary formation and evoluti..."", while the other reports ""A non-detection of escaping hydrogen, as with 55 Cnc e and HD 97658b, would bring useful constraints on the nature of the planetary atmos..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_006,6,partially_addressed,supported,2,2024,0.647,"Analyses [2019EPSC...13.1491M] and [2019ESS.....431104S] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""Using solid-state convection models we find that plumes emerging from the thermal boundary layer at the core-mantle boundary tend to migr..."", while the other reports ""Observations have failed to detect water vapor or signs of escaping hydrogen, consistent with a planet lacking most of the cosmically abu..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_007,7,posed_but_open,still_plausible,2,2021,0.6308,"Analyses [2019ESS.....420101J] and [2019arXiv191109916G] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""With new Calar Alto/CARMENES observations, we not only confirm strong Hα in its extended exosphere, but also report robust detections of ..."", while the other reports ""The fact that our upper limits correspond to previous detections in 55 Cnc e shows that not all super-Earth show these lines all the time..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_008,8,partially_addressed,still_plausible,2,2025,0.6772,"Analyses [2019ESS.....431105S] and [2020AJ....160..101J] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""Through independent analyses, we confirm the quasi-sinusoidal variation observed at the orbital period of the planet and we detect this m..."", while the other reports ""Using these parametric models, we rule out a water-rich atmosphere (VMR $\geqslant $ 0.1%) with a mean molecular weight of $\leqslant $ 1..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_009,9,partially_addressed,still_plausible,2,2021,0.6535,"Analyses [2019ESS.....432708Z] and [2020MNRAS.491.3974G] of 55 CNC E's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""We confirm the upward sloping spectral shape reported by Tsiaras et al 2016 in the WFC3 bandpass."", while the other reports ""The fact that our upper limits correspond to previous detections in 55 Cnc e shows that not all super-Earth show these lines all the time..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_010,10,not_addressed,still_plausible,0,,0.6776,"Analyses [2020MNRAS.498L..53C] and [2020ApJ...899L..13H] of AU MIC B's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""We find that, as the stellar wind becomes stronger, the planetary evaporation rate decreases from 6.5 × 10<SUP>10</SUP> g s<SUP>-1</SUP> ..."", while the other reports ""We use both the IRD data and spectra obtained with NIRSPEC on Keck II to search for absorption in the 1083 nm line of metastable triplet ..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_011,11,partially_addressed,supported,3,2021,0.697,"Analyses [2019MNRAS.489..941P] and [2019AJ....158..108A] of COROT-2 B's atmosphere reach potentially conflicting conclusions regarding TiO: one reports ""We find that unbiased estimates of effective temperatures can be made using as few as three broad-band measurements (white-light HST WFC3..."", while the other reports ""For HD 149026 b, we find no significant evidence for a nonzero obliquity, and the phase curve of WASP-12 b is too complicated by strong t..."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_012,12,answered,supported,1,2026,0.717,"Analyses [2017PhDT.......144W] and [2018NatAs...2..220D] of COROT-2B's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""The study of planets around other stars has entered a science-rich era of characterization, in which detailed information about individua..."", while the other reports ""On the other hand, partial cloud coverage could explain the featureless dayside emission spectrum of the planet<SUP>19,20</SUP>."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
q_013,13,partially_addressed,supported,2,2021,0.7346,"Analyses [2019A&A...624A..49W] and [2019AAS...23322607W] of GJ 1132's atmosphere reach potentially conflicting conclusions regarding CO: one reports ""As a consequence of saturation limits of JWST and less pronounced absorption bands, the detection of spectral features of hypothetical Ea..."", while the other reports ""We do not conclusively detect a transit but report a quantitative upper limit on the effective size of the cloud."". Under what observational or methodological conditions can these results be reconciled, and which currently untested assumption drives the disagreement?"
