question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,partially_addressed,supported,5,2024,0.7309,"How do stellar heterogeneities (e.g., starspots, faculae, and center-to-limb variations) in M-dwarf host stars quantitatively bias the retrieval of exoplanet atmospheric properties from transmission spectra, and what robust correction methods can be developed to mitigate these effects across different stellar activity levels?"
q_002,2,partially_addressed,supported,5,2021,0.7306,"What are the dominant mechanisms and rates of atmospheric escape for rocky exoplanets in the habitable zones of M-dwarfs, and how do variations in stellar wind, magnetic activity, and atmospheric composition affect long-term atmospheric retention and habitability?"
q_003,3,partially_addressed,supported,4,2021,0.7765,"To what extent do clouds and photochemical hazes, and their interactions, obscure or alter the observable spectral features of cool exoplanet atmospheres (T_eq < 1000 K), and how can laboratory measurements and models be improved to accurately predict their impact on atmospheric retrievals?"
q_004,4,partially_addressed,supported,5,2021,0.7066,"How do the thermal structure and chemical composition of mini-Neptune atmospheres depend on irradiation, internal heat flux, metallicity, and cloud/haze properties, and what are the implications for their potential habitability and the nature of their lower atmospheric boundary (surface vs. deep envelope)?"
q_005,5,partially_addressed,supported,4,2021,0.6722,"What are the key factors controlling the onset and detectability of methane and ammonia in the atmospheres of warm transiting giant planets, and how do planetary mass, age, and interior-atmosphere coupling modify the expected chemical transitions compared to equilibrium models and brown dwarfs?"
q_006,6,partially_addressed,supported,4,2021,0.7355,"How can we robustly distinguish between abiotic and biotic sources of atmospheric O2 and O3 on terrestrial exoplanets, especially around M-dwarfs, given the potential for significant abiotic oxygen buildup via CO2 photolysis and the uncertain efficiency of catalytic cycles (e.g., ClOx, SOx) under different stellar spectra?"
q_007,7,not_addressed,still_plausible,0,,0.7229,"What are the limitations imposed by atmospheric refraction and high-altitude aerosols on the detectability of biosignature gases (e.g., O2, CH4, N2O) in terrestrial exoplanet atmospheres using transmission spectroscopy, and how can instrument design or observational strategies be optimized to overcome these challenges?"
q_008,8,partially_addressed,supported,4,2021,0.7599,"How do the histories of stellar XUV emission and high-energy irradiation shape the observed population of exoplanet atmospheres (e.g., the sub-Jovian desert and radius gap), and what observational proxies or models can reliably reconstruct the XUV histories of exoplanet host stars?"
q_009,9,partially_addressed,supported,4,2021,0.7346,"What are the physical and chemical processes governing the formation and persistence of secondary atmospheres on terrestrial exoplanets, and how do planetary bulk composition, magma ocean processes, and outgassing histories influence atmospheric composition and evolution?"
q_010,10,partially_addressed,supported,5,2021,0.7498,"How can next-generation high-resolution spectrographs and single-photon detectors in the mid-infrared be optimized to detect and characterize key atmospheric constituents (e.g., H2O, CO2, O2, NH3) in exoplanet atmospheres, and what are the practical limits imposed by instrument noise, spectral resolution, and photon statistics?"
