question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,answered,supported,2,2021,0.685,"Does the central conclusion of the highly cited study ""Seven temperate terrestrial planets around the nearby ultracool dwarf star TRAPPIST-1"" hold under independent datasets and alternative analysis assumptions?"
q_002,2,partially_addressed,supported,3,2023,0.6105,"Does the central conclusion of the highly cited study ""A continuum from clear to cloudy hot-Jupiter exoplanets without primordial water depletion"" hold under independent datasets and alternative analysis assumptions?"
q_003,3,partially_addressed,supported,2,2023,0.6122,"Does the central conclusion of the highly cited study ""A Framework for Prioritizing the TESS Planetary Candidates Most Amenable to Atmospheric Characterization"" hold under independent datasets and alternative analysis assumptions?"
q_004,4,answered,supported,3,2021,0.6285,"Does the central conclusion of the highly cited study ""The California-Kepler Survey. VII. Precise Planet Radii Leveraging Gaia DR2 Reveal the Stellar Mass Dependence of the Planet Radius Gap"" hold under independent datasets and alternative analysis assumptions?"
q_005,5,partially_addressed,supported,2,2021,0.6464,"Does the central conclusion of the highly cited study ""petitRADTRANS. A Python radiative transfer package for exoplanet characterization and retrieval"" hold under independent datasets and alternative analysis assumptions?"
q_006,6,partially_addressed,supported,5,2021,0.6711,"Does the central conclusion of the highly cited study ""The ExoMol database: Molecular line lists for exoplanet and other hot atmospheres"" hold under independent datasets and alternative analysis assumptions?"
q_007,7,partially_addressed,supported,3,2022,0.5933,"Does the central conclusion of the highly cited study ""A giant comet-like cloud of hydrogen escaping the warm Neptune-mass exoplanet GJ 436b"" hold under independent datasets and alternative analysis assumptions?"
q_008,8,partially_addressed,supported,4,2023,0.6258,"Does the central conclusion of the highly cited study ""The Mass-Metallicity Relation for Giant Planets"" hold under independent datasets and alternative analysis assumptions?"
q_009,9,not_addressed,still_plausible,0,,0.6014,"Does the central conclusion of the highly cited study ""A chemical survey of exoplanets with ARIEL"" hold under independent datasets and alternative analysis assumptions?"
q_010,10,partially_addressed,supported,3,2022,0.5711,"Does the central conclusion of the highly cited study ""The Transit Light Source Effect: False Spectral Features and Incorrect Densities for M-dwarf Transiting Planets"" hold under independent datasets and alternative analysis assumptions?"
