question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,answered,supported,3,2021,0.685,"Does the central conclusion of the highly cited study ""Seven temperate terrestrial planets around the nearby ultracool dwarf star TRAPPIST-1"" hold under independent datasets and alternative analysis assumptions?"
q_002,2,partially_addressed,supported,3,2021,0.6122,"Does the central conclusion of the highly cited study ""A Framework for Prioritizing the TESS Planetary Candidates Most Amenable to Atmospheric Characterization"" hold under independent datasets and alternative analysis assumptions?"
q_003,3,partially_addressed,supported,2,2021,0.6464,"Does the central conclusion of the highly cited study ""petitRADTRANS. A Python radiative transfer package for exoplanet characterization and retrieval"" hold under independent datasets and alternative analysis assumptions?"
q_004,4,partially_addressed,supported,3,2021,0.6424,"Does the central conclusion of the highly cited study ""The ExoMol database: Molecular line lists for exoplanet and other hot atmospheres"" hold under independent datasets and alternative analysis assumptions?"
q_005,5,partially_addressed,supported,4,2022,0.5712,"Does the central conclusion of the highly cited study ""The Transit Light Source Effect: False Spectral Features and Incorrect Densities for M-dwarf Transiting Planets"" hold under independent datasets and alternative analysis assumptions?"
q_006,6,partially_addressed,supported,5,2023,0.6693,"Does the central conclusion of the highly cited study ""Characterizing Transiting Exoplanet Atmospheres with JWST"" hold under independent datasets and alternative analysis assumptions?"
q_007,7,answered,supported,1,2026,0.6377,"Does the central conclusion of the highly cited study ""Stellar Flares from the First TESS Data Release: Exploring a New Sample of M Dwarfs"" hold under independent datasets and alternative analysis assumptions?"
q_008,8,partially_addressed,weakened,4,2021,0.627,"Does the central conclusion of the highly cited study ""Exoplanetary Atmospheres: Key Insights, Challenges, and Prospects"" hold under independent datasets and alternative analysis assumptions?"
q_009,9,partially_addressed,supported,3,2023,0.6158,"Does the central conclusion of the highly cited study ""Helium in the eroding atmosphere of an exoplanet"" hold under independent datasets and alternative analysis assumptions?"
q_010,10,answered,supported,1,2022,0.6173,"Does the central conclusion of the highly cited study ""2018 Census of Interstellar, Circumstellar, Extragalactic, Protoplanetary Disk, and Exoplanetary Molecules"" hold under independent datasets and alternative analysis assumptions?"
