question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,partially_addressed,supported,5,2021,0.7882,"How do photochemical hazes and clouds in exoplanet atmospheres, especially those around M dwarfs and ultra-hot Jupiters, affect the interpretation of transmission and emission spectra, and what are the dominant microphysical processes governing their formation and vertical distribution?"
q_002,2,answered,supported,5,2022,0.7408,"What is the efficiency of atmospheric escape driven by XUV irradiation for young, close-in exoplanets, and how does this efficiency depend on planet mass, composition, and stellar activity history?"
q_003,3,partially_addressed,supported,5,2021,0.7005,"To what extent do magma-atmosphere interactions and magma ocean crystallization timescales set the volatile inventory and atmospheric composition of super-Earths and sub-Neptunes, and how does this process contribute to the observed radius gap?"
q_004,4,partially_addressed,supported,4,2023,0.7383,"How do stellar magnetic activity and unocculted star spots impact the accuracy of exoplanet transmission and emission spectra, particularly for small planets orbiting active M dwarfs, and what are the best methods to correct for these effects?"
q_005,5,partially_addressed,supported,4,2021,0.7255,"What are the dominant mechanisms and timescales for atmospheric loss on terrestrial exoplanets in the habitable zones of M dwarfs, and how do stellar wind and magnetic field interactions influence their long-term habitability?"
q_006,6,partially_addressed,supported,5,2025,0.7497,"How can we robustly distinguish between rocky exoplanets with and without atmospheres using secondary eclipse photometry, and what are the observational limits for this method with current and upcoming facilities?"
q_007,7,partially_addressed,supported,2,2022,0.6698,"What are the key uncertainties in radiative transfer modeling of exoplanet atmospheres, especially regarding the treatment of gas mixtures, pressure broadening, and line-mixing, and how do these affect the retrieval of atmospheric properties?"
q_008,8,partially_addressed,supported,5,2021,0.7203,"How do the properties of exoplanetary atmospheres (e.g., metallicity, internal heat flux, cloud/haze content) influence the radiative-convective boundary and the observable emission spectra of mini-Neptunes and warm Neptunes?"
q_009,9,partially_addressed,supported,3,2022,0.6981,"What is the role of atmospheric metallicity and anomalous heating in the inflation of hot Jupiters, and how can population-level Bayesian models constrain the mechanisms responsible for radius inflation?"
q_010,10,partially_addressed,supported,5,2022,0.7582,"How do atmospheric escape rates and mechanisms differ between planets with hydrogen-dominated envelopes and those with high mean molecular weight atmospheres, especially in the context of the sub-Jovian desert and radius gap?"
q_011,11,partially_addressed,supported,5,2024,0.7339,"What are the observational signatures and detectability limits of biosignature gases (e.g., O2, CH4) in terrestrial exoplanet atmospheres, considering the effects of refraction, clouds, and haze on transmission spectra?"
q_012,12,partially_addressed,supported,5,2021,0.753,"How do the properties of exoplanet host stars, particularly their XUV emission histories, affect the atmospheric evolution and current state of close-in exoplanets, and can we reconstruct these histories to test photoevaporation models?"
q_013,13,partially_addressed,supported,2,2022,0.719,"What are the dominant sources of correlated noise in multi-wavelength exoplanet transit observations, and how can unsupervised machine learning methods improve the precision and reliability of atmospheric retrievals?"
q_014,14,partially_addressed,supported,3,2021,0.709,"How do the microphysical properties (size, composition, spatial distribution) of aerosols and clouds in exoplanet atmospheres affect their phase curves and albedo, and can these properties be constrained with current observations?"
q_015,15,partially_addressed,supported,4,2024,0.7539,"What are the limitations of current high-resolution spectrographs in detecting key atmospheric species (e.g., O2, He, Fe I) in exoplanet atmospheres, and how can instrumental advances improve sensitivity to biomarkers and escape tracers?"
q_016,16,answered,supported,4,2021,0.7908,"How do planetary magnetic fields influence atmospheric escape rates in close-in exoplanets, and under what conditions can magnetic fields significantly reduce or enhance mass loss?"
q_017,17,not_addressed,still_plausible,0,,0.7282,What are the observable consequences of magma ocean dynamos and interior magnetic fields on the atmospheric properties and potential habitability of rocky exoplanets with thick atmospheres?
q_018,18,partially_addressed,supported,5,2021,0.7506,"How do the formation and migration histories of exoplanets imprint on their atmospheric compositions, and can comparative planetology across a large sample reveal distinct formation pathways?"
q_019,19,partially_addressed,supported,3,2022,0.6827,What are the best strategies for validating and benchmarking exoplanet atmospheric radiative transfer codes to ensure reliable interpretation of observed spectra?
q_020,20,partially_addressed,supported,4,2022,0.7367,"How do the properties of exoplanetary atmospheres (e.g., temperature, composition, cloud/haze content) affect the polarization signatures in spectropolarimetric observations, and can these be used to break degeneracies in atmospheric retrievals?"
q_021,21,partially_addressed,supported,5,2022,0.7651,How can laboratory experiments simulating exoplanet atmospheric photochemistry and haze formation inform models of habitability and the detectability of biosignatures?
q_022,22,partially_addressed,supported,5,2021,0.744,"What are the key factors controlling the transition from primary (nebular) to secondary (outgassed/degassed) atmospheres on super-Earths and sub-Neptunes, and how do these transitions affect observable atmospheric properties?"
q_023,23,partially_addressed,supported,5,2021,0.7101,"How do wind speeds and atmospheric dynamics, including the effects of rotation and convection, influence the chemical disequilibrium and observable spectra of exoplanet and brown dwarf atmospheres?"
q_024,24,partially_addressed,supported,4,2021,0.7367,"What are the observational signatures of atmospheric escape from water-rich super-Earths, and can we detect the products of ocean evaporation (e.g., hydrogen exospheres) in such planets?"
q_025,25,partially_addressed,supported,4,2022,0.6699,"How do the properties of exoplanetary atmospheres (e.g., metallicity, clouds, haze) affect the detectability and interpretation of phase curves and secondary eclipses in the optical and infrared?"
q_026,26,partially_addressed,supported,4,2022,0.7799,"How do non-equilibrium chemical processes, such as vertical mixing and photochemistry, affect the observable atmospheric spectra of exoplanets across a wide range of temperatures and metallicities, particularly in the μbar regime where molecular diffusion dominates?"
q_027,27,partially_addressed,supported,4,2021,0.787,"What are the dominant sources of aerosols in exoplanet atmospheres, and how do silicates and photochemical hazes vary in prevalence and composition as a function of planetary equilibrium temperature and atmospheric properties?"
q_028,28,answered,supported,4,2021,0.6001,"To what extent do clouds and aerosols introduce degeneracies in the retrieval of temperature-pressure profiles and molecular abundances from transit spectroscopy, especially when day-night temperature gradients are present?"
q_029,29,partially_addressed,supported,5,2023,0.7802,"How does stellar activity, including spots and faculae, bias the inference of exoplanet atmospheric properties from transmission spectroscopy, and what are the most robust methods to mitigate these effects?"
q_030,30,partially_addressed,supported,4,2025,0.677,"What are the physical mechanisms responsible for the observed odd harmonics in exoplanet photometry, and can these be unambiguously attributed to atmospheric weather patterns rather than data processing artifacts?"
q_031,31,answered,supported,4,2021,0.7384,"How do the properties of clouds and atmospheric variability differ between young, low-gravity brown dwarfs and older, higher-gravity field brown dwarfs, and what does this imply for directly imaged exoplanets?"
q_032,32,answered,supported,5,2022,0.7528,"What are the key limitations and systematic uncertainties in current atmospheric retrieval techniques, and how can marginalization over systematics models or stochastic processes improve the robustness of exoplanet atmospheric inferences?"
q_033,33,partially_addressed,supported,5,2022,0.7504,"How do the abundances of noble gases and isotopic ratios in giant planet atmospheres constrain models of planet formation and migration, and what are the observational requirements to distinguish between competing formation scenarios?"
q_034,34,partially_addressed,supported,5,2021,0.7807,"What is the impact of high-energy stellar emissions (XUV, UV) on atmospheric escape rates and the long-term retention of atmospheres on close-in exoplanets, especially super-Earths and warm Neptunes?"
q_035,35,partially_addressed,supported,3,2022,0.708,"How do the vertical and horizontal structures of equatorial jets on tidally locked terrestrial exoplanets form, and what observable signatures do these jets imprint on atmospheric spectra and phase curves?"
