"item_id","outcome","premise_status","confidence","notes"
"item_001","answered","refuted","3",""
"item_002","posed_but_open","supported","2",""
"item_003","answered","supported","3",""
"item_004","answered","supported","3",""
"item_005","answered","supported","3",""
"item_006","answered","supported","3",""
"item_007","not_addressed","still_plausible","2","未提及k2-141b"
"item_008","answered","supported","3",""
"item_009","partially_addressed","supported","2",""
"item_010","answered","supported","3",""
"item_011","answered","supported","2",""
"item_012","partially_addressed","still_plausible","1","摘要8的偏差未修正"
"item_013","answered","supported","3",""
"item_014","answered","supported","1",""
"item_015","answered","supported","2",""
"item_016","answered","supported","2",""
"item_017","posed_but_open","still_plausible","1",""
"item_018","answered","supported","2",""
"item_019","answered","supported","3",""
"item_020","answered","supported","1",""
"item_021","answered","supported","3",""
"item_022","partially_addressed","supported","2",""
"item_023","not_addressed","not_applicable","2",""
"item_024","answered","supported","3",""
"item_025","partially_addressed","weakened","2",""
"item_026","partially_addressed","still_plausible","2",""
"item_027","partially_addressed","weakened","2",""
"item_028","answered","supported","3",""
"item_029","answered","supported","3",""
"item_030","partially_addressed","supported","2",""
"item_031","answered","supported","3",""
"item_032","answered","supported","3",""
"item_033","partially_addressed","supported","2",""
"item_034","partially_addressed","still_plausible","2",""
"item_035","not_addressed","still_plausible","3",""
"item_036","answered","supported","1",""
"item_037","not_addressed","still_plausible","2",""
"item_038","posed_but_open","weakened","2",""
"item_039","answered","supported","3",""
"item_040","answered","not_applicable","2",""
"item_041","not_addressed","still_plausible","3",""
"item_042","not_addressed","still_plausible","2",""
"item_043","partially_addressed","weakened","1",""
"item_044","partially_addressed","weakened","2",""
"item_045","not_addressed","still_plausible","3",""
"item_046","answered","supported","2",""
"item_047","partially_addressed","still_plausible","2",""
"item_048","answered","not_applicable","2",""
"item_049","not_addressed","still_plausible","1",""
"item_050","not_addressed","still_plausible","2",""
"item_051","partially_addressed","supported","2",""
"item_052","not_addressed","still_plausible","2",""
"item_053","not_addressed","still_plausible","3",""
"item_054","partially_addressed","still_plausible","2",""
"item_055","answered","supported","3",""
"item_056","not_addressed","still_plausible","2",""
"item_057","partially_addressed","weakened","1",""
"item_058","answered","supported","3",""
"item_059","not_addressed","still_plausible","3",""
"item_060","partially_addressed","supported","2",""
"item_061","not_addressed","still_plausible","3",""
"item_062","not_addressed","still_plausible","1",""
"item_063","answered","supported","3",""
"item_064","answered","not_applicable","2",""
"item_065","not_addressed","still_plausible","2",""
"item_066","not_addressed","still_plausible","1",""
"item_067","answered","not_applicable","2",""
"item_068","partially_addressed","weakened","1",""
"item_069","not_addressed","still_plausible","3",""
"item_070","not_addressed","still_plausible","1",""
"item_071","partially_addressed","weakened","3",""
"item_072","answered","supported","3",""
"item_073","not_addressed","still_plausible","2",""
"item_074","not_addressed","still_plausible","1",""
"item_075","partially_addressed","still_plausible","2",""
"item_076","partially_addressed","still_plausible","2",""
"item_077","not_addressed","still_plausible","2",""
"item_078","partially_addressed","weakened","1",""
"item_079","answered","supported","1",""
"item_080","partially_addressed","weakened","2",""
"item_081","partially_addressed","still_plausible","2",""
"item_082","not_addressed","still_plausible","2",""
"item_083","partially_addressed","weakened","3",""
"item_084","partially_addressed","weakened","1",""
"item_085","posed_but_open","still_plausible","3",""
"item_086","partially_addressed","supported","2",""
"item_087","partially_addressed","still_plausible","1",""
"item_088","not_addressed","still_plausible","1",""
"item_089","partially_addressed","weakened","3",""
"item_090","partially_addressed","still_plausible","1",""
