question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,partially_addressed,still_plausible,1,2024,0.6377,"Is the main result reported in ""Zodiacal exoplanets in time - XI. The orbit and radiation environment of the young M dwarf-hosted planet K2-25b"" robust to independent reanalysis with different modeling assumptions?"
q_002,2,partially_addressed,supported,3,2022,0.6496,"Is the main result reported in ""Photochemistry and Star-Atmosphere Interaction in the TRAPPIST-1 System"" robust to independent reanalysis with different modeling assumptions?"
q_003,3,not_addressed,still_plausible,0,,0.6085,"Is the main result reported in ""Subduction on Venus and Implications for Volatile Cycling, Early Earth and Exoplanets"" robust to independent reanalysis with different modeling assumptions?"
q_004,4,not_addressed,still_plausible,0,,0.604,"Is the main result reported in ""Collaborative Research: High Resolution Spectroscopy and Spectro-Astrometry of Warm Gas in Herbig Ae/Be Stars: A Search for Forming Gas Giant Planets"" robust to independent reanalysis with different modeling assumptions?"
q_005,5,partially_addressed,still_plausible,3,2021,0.6804,"Is the main result reported in ""Super-Rayleigh Slopes in Transmission Spectra of Exoplanets Generated by Photochemical Haze"" robust to independent reanalysis with different modeling assumptions?"
q_006,6,partially_addressed,supported,2,2025,0.5967,"Is the main result reported in ""Exoplanet Magma Ocean Magnetic Fields may be Common"" robust to independent reanalysis with different modeling assumptions?"
q_007,7,answered,weakened,3,2023,0.6627,"Is the main result reported in ""A Panchromatic Comparative View of Exoplanet Atmospheres"" robust to independent reanalysis with different modeling assumptions?"
q_008,8,partially_addressed,supported,4,2024,0.5724,"Is the main result reported in ""The transition from primary to secondary atmospheres"" robust to independent reanalysis with different modeling assumptions?"
q_009,9,partially_addressed,supported,3,2024,0.6576,"Is the main result reported in ""Constraining Stellar Photospheres as an Essential Step for Transmission Spectroscopy of Small Exoplanets"" robust to independent reanalysis with different modeling assumptions?"
q_010,10,partially_addressed,still_plausible,2,2023,0.6271,"Is the main result reported in ""On the Temperature Profiles and Emission Spectra of Mini-Neptune Atmospheres"" robust to independent reanalysis with different modeling assumptions?"
q_011,11,not_addressed,still_plausible,0,,0.5545,"Is the main result reported in ""Rapid distortion theory for homogeneous shear-driven MHD turbulence"" robust to independent reanalysis with different modeling assumptions?"
q_012,12,partially_addressed,supported,2,2021,0.6039,"Is the main result reported in ""Exploring the Diversity of Super-Earths"" robust to independent reanalysis with different modeling assumptions?"
q_013,13,posed_but_open,still_plausible,1,2022,0.5639,"Is the main result reported in ""Understanding Titan and Titan-like Exoplanets around Different Stellar Types"" robust to independent reanalysis with different modeling assumptions?"
q_014,14,not_addressed,still_plausible,0,,0.6215,"Is the main result reported in ""XUV irradiation of the youngest and nearest transiting super-Earths and Neptunes"" robust to independent reanalysis with different modeling assumptions?"
q_015,15,not_addressed,still_plausible,0,,0.6471,"Is the main result reported in ""Planets are Shaped by their Past: Reconstructing the Early XUV Emission of Exoplanet Host Stars"" robust to independent reanalysis with different modeling assumptions?"
q_016,16,not_addressed,still_plausible,0,,0.562,"Is the main result reported in ""Envelopes of embedded super-Earths - II. Three-dimensional isothermal simulations"" robust to independent reanalysis with different modeling assumptions?"
q_017,17,partially_addressed,supported,3,2024,0.6058,"Is the main result reported in ""An Exoplanetary View on Atmospheric Evaporation"" robust to independent reanalysis with different modeling assumptions?"
q_018,18,answered,weakened,2,2025,0.6381,"Is the main result reported in ""Superabundance of Exoplanet Sub-Neptunes Explained by Fugacity Crisis"" robust to independent reanalysis with different modeling assumptions?"
q_019,19,answered,supported,4,2024,0.7199,"Is the main result reported in ""Atmospheric Circulation of Hot Jupiters: Dayside-Nightside Temperature Differences"" robust to independent reanalysis with different modeling assumptions?"
q_020,20,partially_addressed,supported,4,2023,0.6518,"Is the main result reported in ""Exoplanet Transits Enable High-Resolution Spectroscopy Across Spatially Resolved Stellar Surfaces"" robust to independent reanalysis with different modeling assumptions?"
q_021,21,partially_addressed,supported,2,2022,0.4704,"Is the main result reported in ""Ariel"" robust to independent reanalysis with different modeling assumptions?"
q_022,22,answered,weakened,5,2023,0.4804,"Is the main result reported in ""A Fabry Perot based instrument for biomarkers detection"" robust to independent reanalysis with different modeling assumptions?"
q_023,23,answered,supported,1,2023,0.6106,"Is the main result reported in ""Transmission spectroscopy with the ACE-FTS infrared spectral atlas of Earth: A model validation and feasibility study"" robust to independent reanalysis with different modeling assumptions?"
q_024,24,partially_addressed,supported,3,2021,0.6609,"Is the main result reported in ""Unsupervised Method for Correlated Noise Removal for Multi-wavelength Exo-planet Transit Observations"" robust to independent reanalysis with different modeling assumptions?"
q_025,25,partially_addressed,supported,2,2022,0.643,"Is the main result reported in ""A Hazy Day Around TRAPPIST-1?"" robust to independent reanalysis with different modeling assumptions?"
q_026,26,partially_addressed,supported,4,2025,0.6598,"Is the main result reported in ""NIRISS Exploration of the Atmospheric diversity of Transiting exoplanets (NEAT)"" robust to independent reanalysis with different modeling assumptions?"
q_027,27,not_addressed,still_plausible,0,,0.6594,"Is the main result reported in ""Aerosol Constraints on the Atmosphere of the Hot Saturn-mass Planet WASP-49b"" robust to independent reanalysis with different modeling assumptions?"
q_028,28,partially_addressed,supported,4,2023,0.584,"Is the main result reported in ""Stellar Variability Effects on Transit Spectroscopy"" robust to independent reanalysis with different modeling assumptions?"
