question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_001,1,not_addressed,still_plausible,0,,0.7018,"Does the atmosphere of 51 Pegasi b contain detectable amounts of TiO, as inferred from reflected light spectroscopy, or is its dayside spectrum dominated by water absorption features with no evidence for TiO?"
q_002,2,answered,refuted,4,2021,0.75,"Is there a substantial water-rich atmosphere present on 55 Cancri e, or do ultraviolet observations rule out significant amounts of hydrogen or water in its atmosphere?"
q_003,3,partially_addressed,supported,5,2023,0.7446,"Does 55 Cancri e possess a carbon dioxide-rich exosphere detectable via ionized carbon absorption during transit, or does it lack a significant atmosphere as suggested by ultraviolet and infrared observations?"
q_004,4,partially_addressed,supported,5,2022,0.7118,"Is the observed thermal phase curve of 55 Cancri e consistent with a carbon dioxide-rich atmosphere as proposed by ultraviolet and optical observations, or do general circulation models and phase curve data rule out such an atmospheric composition?"
q_005,5,answered,refuted,3,2021,0.7446,"Does 55 Cancri e have a dense neutral hydrogen atmosphere as suggested by H-alpha absorption simulations, or is such an atmosphere absent as inferred from the lack of water vapor and hydrogen detections in similar super-Earths like HIP 116454b?"
q_006,6,answered,refuted,4,2021,0.7689,"Does 55 Cancri e have a volatile-rich atmosphere containing HCN, as required by mass-radius constraints and some spectral hints, or is it largely devoid of cosmically abundant volatiles as suggested by the lack of water vapor and escaping hydrogen in observations?"
q_007,7,partially_addressed,supported,4,2021,0.6684,"Are robust detections of metal lines and exospheric features present in the atmosphere of 55 Cancri e as observed in high-resolution spectroscopy, or are such features absent as indicated by upper limits from similar observations of other super-Earths like HD3167b?"
q_008,8,partially_addressed,supported,5,2021,0.6726,"Is the optical modulation observed at the orbital period of 55 Cancri e due to atmospheric or volcanic activity, or is the planet's atmosphere cloudy or depleted in water and TiO as ruled out by high-resolution ground-based spectroscopy?"
q_009,9,answered,refuted,2,2021,0.6935,"Is the upward sloping transit spectrum of 55 Cancri e in the HST/WFC3 bandpass due to HCN in a hydrogen-dominated atmosphere, or is such an interpretation inconsistent with the lack of volcanic tracers and exospheric lines observed in similar super-Earths like HD3167b?"
q_010,10,partially_addressed,supported,3,2022,0.7353,"Does AU Mic b experience strong atmospheric escape as predicted by hydrodynamic models and Ly α transit simulations, or is the escape rate significantly limited as constrained by non-detections of He I absorption in high-dispersion near-infrared spectroscopy?"
q_011,11,answered,refuted,1,2026,0.6925,"Does the dayside atmosphere of CoRoT-2 b exhibit spectral features attributable to TiO, as inferred from model-independent temperature estimates, or are its observed phase curve features better explained by high-obliquity states without invoking TiO?"
q_012,12,answered,supported,1,2026,0.7416,"Is CO present in the atmosphere of CoRoT-2b as detectable by emission spectroscopy, or do thermal phase observations and hotspot offsets indicate atmospheric dynamics or cloud coverage that obscure or alter CO signatures?"
q_013,13,answered,supported,2,2023,0.7419,"Can CO absorption features be detected in the transmission spectrum of GJ 1132b with JWST, or does the lack of a deep Lyα transit and upper limits on neutral hydrogen outflow indicate an absence or low abundance of CO in its atmosphere?"
q_014,14,partially_addressed,still_plausible,1,2021,0.7098,"Does the atmosphere of GJ 1132 b contain TiO detectable as a spectral feature in transmission, or is the observed spectrum dominated by high-altitude clouds that mask TiO and other molecular signatures?"
q_015,15,answered,refuted,4,2021,0.6938,"Is CO present in the atmosphere of GJ 1132b at abundances detectable by secondary eclipse spectroscopy, or do ground-based optical transmission spectra rule out a clear, 10× solar metallicity CO-rich atmosphere?"
q_016,16,partially_addressed,supported,4,2023,0.6375,"Does increasing atmospheric metallicity on GJ 1214 b lead to increased mass and opacity of KCl and ZnS clouds as predicted by microphysical models, or do other factors dominate cloud formation and distribution regardless of metallicity?"
q_017,17,partially_addressed,supported,3,2023,0.7,"Is CO present in the atmosphere of GJ 1214b at levels predicted by chemical equilibrium calculations for super-Earths, or do observations and transit depths across multiple bands indicate a lack of detectable CO features?"
q_018,18,answered,supported,4,2023,0.6725,"Are CO absorption features detectable in the atmosphere of GJ 1214b using current instruments, or do thick high-altitude clouds and hazes render the transmission spectrum featureless and mask any CO signatures?"
q_019,19,answered,supported,3,2023,0.6631,"Is CO detectable in the atmosphere of GJ 1214b via infrared transit spectroscopy, or do thick high-altitude clouds driven by stratospheric wave activity obscure all molecular features including CO?"
q_020,20,answered,refuted,5,2022,0.7671,"Does the atmosphere of GJ 1214b contain detectable amounts of CO or helium as revealed by precise near-infrared transmission spectra, or do nondetections of helium and the presence of clouds indicate a lack of detectable CO and a non-primordial atmospheric composition?"
q_021,21,answered,supported,4,2023,0.6933,"Does the atmosphere of GJ 1214b contain TiO at observable levels, or is its transmission spectrum best explained by clouds and/or stellar heterogeneity without TiO features?"
q_022,22,answered,supported,3,2023,0.671,"Are TiO molecular absorption features detectable in the transmission spectrum of GJ 1214b above the obscuring effects of clouds or haze, or is the spectrum flat due to these aerosols?"
q_023,23,answered,supported,5,2023,0.7462,"Does increasing atmospheric metallicity in GJ 1214b lead to significant changes in its atmospheric structure and observable spectra, or are clouds and hazes the dominant factors regardless of metallicity?"
q_024,24,answered,supported,4,2023,0.6562,"Does the haze in GJ 1214b's atmosphere produce a gray (wavelength-independent) opacity in the optical and near-infrared due to aggregate particles, or does it produce a scattering slope toward shorter wavelengths as expected from spherical particles?"
q_025,25,partially_addressed,supported,4,2023,0.7128,"In the atmosphere of GJ 1214b, does increasing metallicity result in smaller haze particle sizes and sufficient haze opacity to obscure molecular features, or does the aggregate nature of haze particles produce a gray opacity regardless of metallicity and particle size?"
q_026,26,not_addressed,still_plausible,0,,0.6277,"Does GJ 3470b exhibit a strong Rayleigh scattering slope in its optical transmission spectrum indicative of a hazy atmosphere, or is the spectrum flat and featureless in the infrared and optical?"
q_027,27,partially_addressed,supported,2,2021,0.707,"Is the atmosphere of GJ 3470b dominated by hydrogen/helium with clouds and hazes producing Rayleigh scattering in the visible, or is it characterized by extreme atmospheric escape with a giant hydrogen exosphere and significant mass loss?"
q_028,28,answered,supported,2,2021,0.6719,"Does GJ 3470b possess a large hydrogen envelope extending beyond the Roche lobe with detectable Lyα and He 10830 Å absorption, or do atmospheric/interior connections and nonequilibrium chemistry dominate the observable molecular features?"
q_029,29,not_addressed,still_plausible,0,,0.7157,"Is He I 10830 Å absorption during transit detectable in the atmosphere of GJ 3470b at significant levels, or is such absorption absent or below detection limits in similar warm Neptune exoplanets?"
q_030,30,answered,refuted,2,2025,0.6896,"Does GJ 357 b, an Earth-sized planet orbiting an inactive M dwarf, retain a primordial atmosphere with detectable TiO features, or has its atmosphere been lost due to long-term stellar irradiation and low X-ray activity?"
q_031,31,partially_addressed,supported,4,2021,0.6701,"Does the weak stellar wind of GJ 436 (M3 V), as inferred from Lyman-α absorption, significantly affect the structure and dispersal of neutral hydrogen (and thus CO) in the exosphere of GJ 436 b compared to the effects of stellar radiation pressure alone?"
q_032,32,not_addressed,still_plausible,0,,0.6727,"Is the extended hydrogen exosphere of GJ 436 b, as detected via strong Lyman-α absorption, also detectable through Hα absorption during transit, or is the hydrogen cloud predominantly in the ground state and thus not observable in Hα?"
q_033,33,not_addressed,still_plausible,0,,0.6902,"Does the transmission spectrum of GJ 436b, as observed with HST/STIS, show evidence for CO or other molecular features, or is it consistent with a flat, featureless spectrum as seen in WASP-80b?"
q_034,34,not_addressed,still_plausible,0,,0.6923,"Does the optical transmission spectrum of GJ 436b, as observed with HST/STIS, indicate a cloudy, moderate metallicity atmosphere, or is the upper atmospheric composition and species distribution primarily determined by the stellar EUV spectral energy distribution as predicted by photoionization models?"
q_035,35,not_addressed,still_plausible,0,,0.6537,"Is the observed H2 fluorescence in the spectrum of GJ 832 primarily of stellar origin, or does it indicate a significant contribution from exoplanetary atmospheres or circumstellar gas disks?"
q_036,36,answered,supported,1,2021,0.746,"Do the planets in the GJ 9827 system exhibit atmospheric features (such as CO) that can be detected and characterized via transit spectroscopy, or are their atmospheres undetectable or ambiguous with current observational techniques?"
q_037,37,not_addressed,still_plausible,0,,0.6426,"Does GJ1132b possess a detectable neutral hydrogen envelope, as evidenced by a deep Lyman-α transit, or is such an envelope absent or below the detection threshold in HST/STIS observations?"
q_038,38,partially_addressed,supported,4,2024,0.695,"Are the high and thick clouds observed in the atmosphere of GJ1214b best explained by 1D cloud transport models with parameterized nucleation and diffusion, or do 3D atmospheric circulation models with strong vertical mixing provide a more accurate representation of their formation and distribution?"
q_039,39,partially_addressed,supported,4,2023,0.6281,"Does increasing atmospheric metallicity in GJ1214b lead to a higher cloud-top altitude only up to a threshold (due to particle coalescence and settling), or can the presence of fluffy aggregate clouds allow for even higher cloud tops regardless of metallicity?"
q_040,40,answered,supported,5,2023,0.7231,"Does the transmission spectrum of GJ1214b, as measured in the optical and near-infrared, support the presence of high-altitude clouds or hazes (such as KCl or ZnS) predicted by 3D circulation models, or is it better explained by a flat spectrum with no significant Rayleigh scattering or cloud features?"
q_041,41,answered,supported,5,2023,0.7019,"Does the atmosphere of GJ1214b require the inclusion of high-altitude, fluffy mineral aggregate clouds to explain its transmission spectrum, or can its atmospheric properties (including CO abundance) be accurately retrieved without invoking such clouds?"
q_042,42,answered,refuted,1,2022,0.6466,"Is the dayside emission spectrum of GJ436b consistent with a metal-rich, well-mixed, tidally heated atmosphere in disequilibrium chemistry, or do current models fail to explain the observed CO features and overall spectrum?"
q_043,43,not_addressed,still_plausible,0,,0.5663,"Does GJ9827b possess a water-rich envelope that is resilient to atmospheric escape, or has it formed without a volatile envelope, as inferred from the presence or absence of TiO and related atmospheric features?"
q_044,44,not_addressed,still_plausible,0,,0.7023,"Is the mass loss rate from HAT-P-11b's atmosphere due to hydrodynamic escape significant enough to alter its bulk composition, or is it low enough that the planet retains most of its original atmosphere, as inferred from TiO and helium observations?"
q_045,45,answered,supported,3,2021,0.6095,"Is the transmission spectrum of HAT-P-12b best explained by Rayleigh scattering from high-altitude haze or by gray absorption from dense cloud coverage, specifically regarding the presence and detectability of CO features?"
q_046,46,not_addressed,still_plausible,0,,0.7271,"Does the atmosphere of HAT-P-12b exhibit a flat transmission spectrum with no evidence for TiO/VO absorption, or is there a wavelength-dependent variation in transit depth indicative of TiO/VO absorption in the optical bands?"
q_047,47,answered,supported,1,2022,0.6728,"Is the atmosphere of HAT-P-1b nearly cloud-free at visible wavelengths, as indicated by a low cloudiness index, or do narrowband spectrophotometry observations reveal significant cloud coverage affecting the detection of CO and other species?"
q_048,48,not_addressed,still_plausible,0,,0.6935,"Does the transmission spectrum of HAT-P-1b show a constant transit depth from near-UV to optical wavelengths, indicating a lack of significant CO absorption features, or do ground-based optical spectrophotometry observations reveal spectral features consistent with CO absorption?"
q_049,49,answered,supported,2,2025,0.6845,"Does the atmosphere of HAT-P-26b exhibit detectable spectroscopic features in transmission that argue against the presence of thick, high-level clouds, or do secondary eclipse measurements indicate a low atmospheric metallicity with efficient energy circulation and possible cloud coverage affecting CO detection?"
q_050,50,partially_addressed,supported,2,2025,0.6737,"Is the transmission spectrum of HAT-P-26b best explained by a high-metallicity, cloud-free atmosphere with prominent CO features, or do transit timing variation and spectroscopic analyses indicate the presence of clouds or other atmospheric properties that obscure CO detection?"
q_051,51,partially_addressed,supported,2,2023,0.7088,"Does the atmosphere of HAT-P-32b exhibit detectable TiO features in its transmission spectrum, or is the spectrum flat due to high-altitude clouds masking such features?"
q_052,52,answered,supported,1,2023,0.6673,Is water vapor present in the atmosphere of HAT-P-32b as indicated by a 1.4 μm water feature in its near-infrared transmission or emission spectrum?
