question_id,rank,outcome,premise_status,n_supporting_papers,first_evidence_year,top1_similarity,question
q_002,1,not_addressed,still_plausible,0,,0.5966,How does terminator heterogeneity affect the statistical evidence for water and the inferred water abundance and C/O ratio in WASP-12 b?
q_001,2,partially_addressed,supported,3,2021,0.6017,"What causes the roughly factor-of-five discrepancy between the ~8 km/s wind inferred from optical sodium and the ~1.7 km/s wind inferred from near-infrared CO/H2O in HD 189733 b: vertical wind shear between the probed atmospheric layers, temporal variability, line-formation differences, or instrumental and analysis systematics?"
q_004,3,partially_addressed,supported,1,2021,0.6896,Under what atmospheric conditions does HD 189733 b exhibit subsolar water abundances alongside robust carbon monoxide detection in high-dispersion transmission spectra?
q_008,4,answered,refuted,3,2025,0.6487,"Is the strongly subsolar terminator water abundance retrieved for HD 209458 b a property of the atmosphere or an artifact of retrieval assumptions, as tested by comparing independent retrieval frameworks on the same and on independent datasets?"
q_007,5,partially_addressed,weakened,3,2024,0.6739,"Do patchy-cloud, solar-composition models remain the preferred explanation of the HST/WFC3 transmission spectra of HD 189733 b and HAT-P-11 b when tested with independent retrieval frameworks and broader-wavelength or independent observations?"
q_010,6,partially_addressed,supported,1,2022,0.664,"How sensitive is the reported WASP-121 b water detection to cloud opacity, stellar contamination, baseline offsets, retrieval priors, and the selected null model?"
q_005,7,partially_addressed,supported,4,2022,0.6382,"Do the HST transmission data independently support NH3 or HCN in HD 209458 b, and how does the evidence for each species change under cloud-free, patchy-cloud, and fully cloudy retrieval scenarios?"
q_009,8,partially_addressed,supported,3,2021,0.7192,"Under what atmospheric conditions do patchy cloud models with solar composition provide robust fits to HST/WFC3 spectra of hot Neptunes and hot Jupiters, without invoking high mean molecular weight or globally uniform clouds?"
q_006,9,partially_addressed,still_plausible,2,2022,0.7191,Does the >3-sigma exclusion of a carbon-rich (C/O > 1) atmosphere for WASP-12 b survive relaxing the equilibrium-chemistry assumption in retrievals of the same HST/WFC3 transmission spectrum?
q_011,10,partially_addressed,weakened,5,2024,0.7314,To what extent have actual JWST observations validated pre-launch predictions that aerosol-free TRAPPIST-1 CO2 atmospheres would be detectable within ten NIRSpec Prism transits?
